Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
The Gallows,Jul,10,2015,0.1,22.76441,41.753881,18.989471
Still Alice,Jan,16,2015,5,18.6564,41.699612,23.043212
Dream House,Sep,30,2011,50,21.30234,41.642166,20.339826
Safe,Apr,27,2012,33,17.14208,41.495213,24.353133
Dredd,Sep,21,2012,45,13.414714,41.467606,28.052892
50/50,Sep,30,2011,8,35.016118,41.334735,6.318617
This is Where I Leave You,Sep,19,2014,20,34.29632,41.29632,7
The Guilt Trip,Dec,19,2012,40,37.134215,41.294674,4.160459
Don Jon,Sep,27,2013,5.5,24.477704,41.268579,16.790875
Drive Angry,Feb,25,2011,50,10.721033,41.042583,30.32155
30 Minutes or Less,Aug,12,2011,28,37.053924,40.966716,3.912792
El secreto de sus ojos,Apr,16,2010,3.5,6.391436,40.527719,34.136283
Fright Night,Aug,19,2011,30,18.298649,40.520649,22.222
Ricki and the Flash,Aug,7,2015,18,26.822144,40.487973,13.665829
The Witch,Feb,19,2016,3.5,25.138705,40.45452,15.315815
The Forest,Jan,8,2016,10,26.594261,39.803818,13.209557
Monte Carlo,Jul,1,2011,20,23.186769,39.686769,16.5
Mars Needs Moms,Mar,11,2011,150,21.392758,39.549758,18.157
Sin City: A Dame to Kill For,Aug,22,2014,65,13.757804,39.499349,25.741545
Furry Vengeance,Apr,30,2010,35,17.630465,39.340177,21.709712
Killing Them Softly,Nov,30,2012,15,14.945541,39.238443,24.292902
Brooklyn's Finest,Mar,5,2010,17,27.163593,39.233233,12.06964
Million Dollar Arm,May,10,2014,25,36.447959,39.217912,2.769953
No Escape,Aug,26,2015,5,27.288872,39.157326,11.868454
Don't Be Afraid of the Dark,Aug,26,2011,25,24.046682,39.126427,15.079745
Agora,May,28,2010,70,0.619423,38.992292,38.372869
3 Days to Kill,Feb,21,2014,28,30.697999,38.9599,8.261901
The Warlords,Apr,2,2010,40,0.129078,38.899792,38.770714
The Sitter,Dec,9,2011,25,30.542576,38.749404,8.206828
The Gambler,Dec,10,2014,25,33.680992,38.718031,5.037039
Jumping the Broom,May,6,2011,7,37.295394,38.158601,0.863207
Carnage,Dec,16,2011,25,2.546747,38.112154,35.565407
Beastly,Mar,4,2011,17,27.865571,38.02823,10.162659
For Colored Girls,Nov,5,2010,21,37.729698,38.017873,0.288175
Deepwater Horizon,Sep,30,2016,156,25.439985,37.839985,12.4
Ex Machina,Apr,10,2015,13,25.440971,37.065887,11.624916
Amour,Dec,19,2012,9.7,6.738954,36.787044,30.04809
Barfi,Sep,14,2012,4.6,2.804874,36.751984,33.94711
Haywire,Jan,20,2012,23,18.942396,36.3747,17.432304
The Kids Are All Right,Jul,9,2010,4,20.811365,36.275469,15.464104
A Very Harold & Kumar 3D Christmas,Nov,4,2011,20,35.061031,36.265745,1.204714
Room,Oct,16,2015,13,14.677674,36.226429,21.548755
One for the Money,Jan,27,2012,42,26.414527,36.197221,9.782694
Devil's Due,Jan,17,2014,7,15.821461,36.146087,20.324626
Criminal,Apr,15,2016,31.5,14.708696,36.131497,21.422801
A Most Wanted Man,Jul,25,2014,15,17.237855,36.06889,18.831035
The Eagle,Feb,11,2011,25,19.490041,36.054706,16.564665
Arbitrage,Sep,14,2012,12,7.919574,35.830713,27.911139
Faster,Nov,24,2010,24,23.24002,35.792945,12.552925
Tyler Perry's Good Deeds,Feb,24,2012,14,35.025791,35.579177,0.553386
Alex Cross,Oct,19,2012,35,25.888412,35.426759,9.538347
